Activity,DietPreference,SleepHours,Age,RecommendedDiet
High,Vegan,6.6,24,High Protein
Low,Veg,5.0,43,Balanced
High,Vegan,4.8,32,High Protein
High,Veg,4.1,66,Balanced
Low,Vegan,7.9,59,Balanced
Low,Vegan,10.0,40,Balanced
High,Veg,7.7,69,Balanced
Medium,Vegan,9.5,55,Balanced
High,Non-Veg,8.7,58,Balanced
High,Veg,6.2,32,Balanced
High,Non-Veg,8.9,65,Balanced
High,Veg,6.3,57,Balanced
Low,Vegan,6.3,33,Balanced
High,Vegan,6.7,49,High Protein
Medium,Vegan,6.8,54,Balanced
Low,Veg,8.0,35,Balanced
Medium,Non-Veg,6.0,37,Mediterranean
Medium,Non-Veg,8.3,63,Mediterranean
Medium,Veg,8.3,19,Balanced
Medium,Veg,7.5,40,Balanced
Low,Non-Veg,9.9,47,Low Carb
Low,Non-Veg,8.9,20,Low Carb
Medium,Non-Veg,8.6,63,Mediterranean
Medium,Non-Veg,7.1,56,Mediterranean
Low,Veg,7.5,64,Balanced
Low,Veg,7.8,66,Balanced
Low,Vegan,7.0,18,Balanced
High,Non-Veg,6.4,58,Balanced
High,Vegan,4.0,39,High Protein
High,Veg,8.1,46,Balanced
Medium,Veg,8.6,31,Balanced
High,Vegan,5.3,65,High Protein
Medium,Non-Veg,7.9,45,Mediterranean
Medium,Non-Veg,6.1,38,Mediterranean
High,Non-Veg,6.5,62,Balanced
Medium,Non-Veg,9.0,49,Mediterranean
High,Vegan,5.5,23,High Protein
High,Vegan,5.5,18,High Protein
Low,Veg,9.7,38,Balanced
High,Non-Veg,6.8,21,Balanced
Low,Non-Veg,8.9,20,Low Carb
High,Non-Veg,4.6,66,Balanced
High,Vegan,4.7,47,High Protein
Low,Non-Veg,5.6,48,Low Carb
Low,Vegan,6.3,51,Balanced
High,Non-Veg,4.9,36,Balanced
Medium,Non-Veg,7.6,37,Mediterranean
Low,Veg,7.7,40,Balanced
Medium,Non-Veg,5.7,57,Mediterranean
Medium,Non-Veg,5.8,42,Mediterranean
Medium,Veg,6.0,32,Balanced
Low,Vegan,5.3,55,Balanced
Medium,Vegan,4.0,40,Balanced
Low,Non-Veg,6.9,69,Low Carb
Medium,Vegan,6.4,19,Balanced
High,Non-Veg,6.5,32,Balanced
High,Veg,5.5,69,Balanced
Low,Veg,8.2,61,Balanced
High,Non-Veg,10.0,52,Balanced
High,Veg,5.7,27,Balanced
Medium,Veg,9.1,31,Balanced
Low,Non-Veg,7.5,44,Low Carb
Medium,Non-Veg,7.1,31,Mediterranean
Medium,Veg,6.5,52,Balanced
Medium,Vegan,6.9,50,Balanced
Medium,Vegan,8.7,69,Balanced
Medium,Non-Veg,5.3,18,Mediterranean
Medium,Non-Veg,6.6,51,Mediterranean
Medium,Vegan,8.9,36,Balanced
Low,Veg,8.5,41,Balanced
High,Vegan,5.3,59,High Protein
Medium,Vegan,6.7,21,Balanced
Medium,Vegan,8.1,53,Balanced
Medium,Vegan,8.0,30,Balanced
Medium,Non-Veg,8.5,49,Mediterranean
Medium,Non-Veg,7.6,26,Mediterranean
Medium,Veg,7.8,56,Balanced
High,Veg,7.5,33,Balanced
High,Veg,9.4,67,Balanced
Medium,Veg,6.4,20,Balanced
High,Vegan,7.1,69,High Protein
Low,Non-Veg,5.5,37,Low Carb
Medium,Non-Veg,5.2,27,Mediterranean
Low,Veg,7.5,39,Balanced
Low,Veg,5.9,65,Balanced
Medium,Vegan,6.9,20,Balanced
High,Vegan,9.4,28,High Protein
Low,Veg,9.3,42,Balanced
Medium,Non-Veg,10.0,59,Mediterranean
Low,Non-Veg,9.5,65,Low Carb
Low,Non-Veg,10.0,25,Low Carb
Low,Veg,7.7,26,Balanced
Low,Non-Veg,5.6,32,Low Carb
High,Vegan,5.5,49,High Protein
Low,Vegan,9.1,20,Balanced
Low,Veg,7.1,21,Balanced
Low,Vegan,7.2,47,Balanced
High,Veg,6.2,30,Balanced
Low,Non-Veg,6.4,61,Low Carb
Low,Non-Veg,7.6,38,Low Carb
High,Non-Veg,5.4,58,Balanced
High,Vegan,7.4,63,High Protein
High,Veg,9.3,36,Balanced
Low,Non-Veg,4.0,56,Low Carb
High,Veg,4.7,65,Balanced
High,Non-Veg,8.0,39,Balanced
Low,Vegan,9.0,37,Balanced
High,Vegan,6.3,54,High Protein
Low,Veg,4.0,48,Balanced
Medium,Vegan,9.1,27,Balanced
High,Vegan,5.8,35,High Protein
Medium,Veg,6.5,60,Balanced
Low,Non-Veg,7.5,56,Low Carb
High,Vegan,6.0,63,High Protein
Low,Veg,5.7,37,Balanced
Medium,Vegan,5.7,35,Balanced
Low,Vegan,9.8,28,Balanced
High,Vegan,8.7,39,High Protein
High,Vegan,7.9,61,High Protein
Medium,Veg,4.0,35,Balanced
Low,Veg,7.9,51,Balanced
High,Veg,7.8,40,Balanced
Medium,Vegan,5.1,18,Balanced
High,Vegan,7.4,27,High Protein
High,Vegan,8.6,18,High Protein
Low,Veg,7.9,55,Balanced
High,Vegan,6.0,56,High Protein
Low,Non-Veg,7.0,66,Low Carb
High,Vegan,8.1,26,High Protein
Medium,Non-Veg,7.1,48,Mediterranean
High,Vegan,8.9,24,High Protein
Low,Veg,7.6,34,Balanced
Low,Vegan,8.1,52,Balanced
Medium,Non-Veg,8.2,65,Mediterranean
High,Non-Veg,5.4,54,Balanced
High,Vegan,7.1,69,High Protein
Medium,Non-Veg,6.5,35,Mediterranean
High,Non-Veg,8.6,50,Balanced
High,Veg,7.7,21,Balanced
Low,Vegan,6.7,40,Balanced
High,Vegan,5.1,28,High Protein
High,Vegan,4.6,69,High Protein
Medium,Non-Veg,7.5,26,Mediterranean
Medium,Vegan,5.9,47,Balanced
Low,Vegan,8.0,25,Balanced
High,Veg,4.5,57,Balanced
High,Veg,9.4,22,Balanced
High,Veg,8.0,29,Balanced
Low,Non-Veg,7.1,18,Low Carb
Low,Vegan,9.5,32,Balanced
Medium,Veg,8.4,42,Balanced
Low,Veg,6.3,35,Balanced
High,Veg,7.1,55,Balanced
High,Vegan,4.1,59,High Protein
Low,Vegan,8.6,63,Balanced
High,Vegan,6.6,43,High Protein
High,Non-Veg,4.0,57,Balanced
Low,Non-Veg,5.2,20,Low Carb
Low,Veg,8.3,39,Balanced
High,Vegan,9.4,43,High Protein
High,Veg,7.0,36,Balanced
High,Vegan,5.5,61,High Protein
Medium,Vegan,4.9,61,Balanced
Medium,Vegan,9.1,64,Balanced
Medium,Non-Veg,7.7,56,Mediterranean
Low,Non-Veg,6.5,53,Low Carb
Medium,Vegan,6.1,38,Balanced
Low,Veg,8.0,58,Balanced
Low,Vegan,8.0,65,Balanced
Medium,Vegan,5.7,43,Balanced
Medium,Veg,5.3,30,Balanced
Medium,Vegan,5.4,53,Balanced
High,Veg,6.3,41,Balanced
Medium,Non-Veg,6.0,58,Mediterranean
High,Non-Veg,9.4,43,Balanced
Low,Veg,6.2,38,Balanced
High,Non-Veg,5.1,35,Balanced
Medium,Non-Veg,5.2,32,Mediterranean
Low,Veg,6.7,32,Balanced
Low,Non-Veg,4.3,23,Low Carb
Low,Vegan,6.9,60,Balanced
High,Vegan,5.0,48,High Protein
Medium,Veg,8.7,45,Balanced
Low,Non-Veg,7.2,25,Low Carb
Low,Vegan,10.0,46,Balanced
